1,1.59E-06,0.0011147
2,2.757,0.0011151
3,5.6367,0.0011164
4,8.6571,0.0011187
5,11.841,0.0011221
6,15.219,0.001127
7,18.83,0.0011337
8,22.732,0.0011426
9,67.518,0.0014328
10,112.3,0.0032431
11,116.21,0.0038195
12,119.82,0.0046155
13,123.19,0.0057946
14,126.38,0.0077275
15,129.4,0.011465
16,132.28,0.021271
17,135.04,0.047417
18,139.45,0.013457
19,144.06,0.0066084
20,148.9,0.0041936
21,154,0.0029683
22,159.41,0.0022268
23,165.19,0.0017281
24,171.44,0.0013679
25,243.17,0.00022464
26,314.9,1.57E-05
27,321.15,2.87E-05
28,326.94,4.06E-05
29,332.35,5.15E-05
30,337.45,6.14E-05
31,342.28,7.07E-05
32,346.9,7.94E-05
33,351.31,8.76E-05
34,356.14,9.65E-05
35,361.17,0.00010566
36,366.46,0.00011524
37,372.03,0.00012531
38,377.94,0.000136
39,384.26,0.00014751
40,391.08,0.0001601
41,469.44,0.00035049
42,547.79,0.0011057
43,554.62,0.0013308
44,560.93,0.0016356
45,566.84,0.0020731
46,572.41,0.00275
47,577.7,0.0038943
48,582.74,0.0058814
49,587.56,0.0075883
50,592.53,0.0057765
51,597.72,0.0037856
52,603.16,0.0026633
53,608.9,0.0020042
54,614.99,0.0015793
55,621.5,0.0012839
56,628.54,0.0010659
57,709.27,0.00034332
58,790.01,0.00017547
59,797.04,0.0001631
60,803.55,0.0001506
61,809.64,0.00013761
62,815.38,0.00012506
63,820.82,0.00012034
64,826.01,0.00014823
65,830.98,0.00021114
66,833.99,0.00023423
67,837.13,0.00023641
68,840.43,0.00022725
69,843.9,0.00021512
70,847.59,0.00020336
71,851.53,0.00019278
72,855.79,0.00018334
73,904.65,0.00013006
74,953.51,0.0001036
75,957.77,0.00010176
76,961.71,0.0001001
77,965.39,9.86E-05
78,968.87,9.72E-05
79,972.16,9.58E-05
80,975.31,9.46E-05
81,978.31,9.33E-05
82,989.37,8.91E-05
83,1000.9,8.51E-05
84,1013,8.12E-05
85,1025.8,7.73E-05
86,1039.4,7.34E-05
87,1053.9,6.95E-05
88,1069.5,6.54E-05
89,1249.2,2.91E-05
90,1428.8,2.58E-05
91,1444.5,3.84E-05
92,1459,5.51E-05
93,1472.5,7.86E-05
94,1485.3,0.00011409
95,1497.4,0.00017223
96,1509,0.00026734
97,1520,0.00034982
98,1523.7,0.00034584
99,1527.6,0.00032444
100,1531.6,0.00029337
101,1535.9,0.00026022
102,1540.4,0.00022928
103,1545.2,0.00020203
104,1550.5,0.00017854
105,1610.4,8.00E-05
106,1670.4,5.49E-05
107,1675.6,5.35E-05
108,1680.5,5.23E-05
109,1685,5.12E-05
110,1689.3,5.03E-05
111,1693.3,4.94E-05
112,1697.2,4.86E-05
113,1700.9,4.79E-05
114,1705.5,4.70E-05
115,1710.3,4.61E-05
116,1715.3,4.52E-05
117,1720.7,4.43E-05
118,1726.3,4.34E-05
119,1732.3,4.24E-05
120,1738.9,4.14E-05
