Time(s),CH1V,CH2V
1.480000e-02,-6.333333e-03,-1.702667e-01
1.500000e-02,7.800000e-03,8.024000e-02
1.520000e-02,4.533333e-03,2.568533e-01
1.540000e-02,-6.600000e-03,-1.041067e-01
1.560000e-02,5.600000e-03,-3.689333e-01
1.580000e-02,-6.200000e-03,2.599733e-01
1.600000e-02,-4.600000e-03,2.604267e-01
1.620000e-02,5.466667e-03,4.004800e-01
1.640000e-02,-6.466667e-03,2.741867e-01
1.660000e-02,5.333333e-03,-7.885333e-02
1.680000e-02,7.200000e-03,-5.544000e-02
1.700000e-02,-4.733333e-03,-4.053867e-01
1.720000e-02,-8.400000e-03,-3.698667e-01
1.740000e-02,5.466667e-03,8.789333e-02
1.760000e-02,5.200000e-03,6.514667e-02
1.780000e-02,-7.733333e-03,-3.400000e-01
1.800000e-02,4.800000e-03,-3.326933e-01
1.820000e-02,-5.666667e-03,2.653867e-01
1.840000e-02,6.533334e-03,2.392533e-01
1.860000e-02,-8.133333e-03,-6.586666e-02
1.880000e-02,4.533333e-03,-6.621333e-02
1.900000e-02,-4.733333e-03,-1.884267e-01
1.920000e-02,-4.866667e-03,-2.428800e-01
1.940000e-02,9.133333e-03,2.327200e-01
1.960000e-02,-7.133333e-03,4.088800e-01
1.980000e-02,1.313333e-02,9.280000e-02
2.000000e-02,4.000000e-03,9.301333e-02
2.020000e-02,-6.466667e-03,-6.744000e-02
2.040000e-02,7.666667e-03,1.982933e-01
2.060000e-02,-6.333333e-03,-9.701333e-02
2.080000e-02,-7.533333e-03,-9.730667e-02
2.100000e-02,8.333334e-03,-1.954933e-01
2.120000e-02,-5.400000e-03,-1.515733e-01
2.140000e-02,5.333333e-03,-2.501333e-02
2.160000e-02,-6.200000e-03,-2.480000e-02
2.180000e-02,6.933333e-03,2.828800e-01
2.200000e-02,4.133333e-03,2.570133e-01
2.220000e-02,-6.866667e-03,-3.333600e-01
2.240000e-02,-7.266667e-03,-3.347733e-01
2.260000e-02,4.933333e-03,-3.461333e-02
2.280000e-02,5.600000e-03,-7.013333e-03
2.300000e-02,-5.400000e-03,-1.042133e-01
2.320000e-02,6.666667e-03,-8.912000e-02
2.340000e-02,-5.800000e-03,7.077333e-02
2.360000e-02,6.400000e-03,-2.800000e-03
2.380000e-02,-8.133333e-03,2.055733e-01
2.400000e-02,-7.866667e-03,2.233600e-01
2.420000e-02,5.333333e-03,6.693333e-03
2.440000e-02,5.600000e-03,6.346667e-03
2.460000e-02,-9.333333e-03,-2.506667e-01
2.480000e-02,-7.266667e-03,-3.840000e-02
2.500000e-02,5.200000e-03,1.145867e-01
2.520000e-02,6.533334e-03,1.008800e-01
2.540000e-02,-9.066666e-03,-6.186666e-03
2.560000e-02,-6.733333e-03,1.069333e-02
2.580000e-02,6.666667e-03,-1.604000e-01
2.600000e-02,5.200000e-03,-1.667467e-01
2.620000e-02,-6.866667e-03,-1.192000e-02
2.640000e-02,-7.533333e-03,-6.744000e-02
2.660000e-02,6.666667e-03,-2.958133e-01
2.680000e-02,-8.000000e-03,-2.933067e-01
2.700000e-02,4.400000e-03,1.708533e-01
2.720000e-02,-8.133333e-03,1.933867e-01
2.740000e-02,6.266667e-03,1.181333e-01
2.760000e-02,-6.200000e-03,1.351467e-01
