Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774254087.3939798,0.092,-9999.000000,21.749883,26.0,98.6387,LOW,0.2,0.005,0.0
1774254087.4577675,0.156,-9999.000000,21.746004,26.0,98.7163,LOW,0.2,0.005,0.0
1774254087.5195503,0.217,-9999.000000,21.743677,26.0,98.7628,LOW,0.2,0.005,0.0
1774254087.5817704,0.280,-9999.000000,21.763068,26.0,98.3750,LOW,0.2,0.005,0.0
1774254087.6439962,0.342,-9999.000000,21.748332,26.0,98.6697,LOW,0.2,0.005,0.0
1774254087.7057953,0.404,-9999.000000,21.733208,26.0,98.9722,LOW,0.2,0.005,0.0
1774254087.7686303,0.467,-9999.000000,21.744841,26.0,98.7396,LOW,0.2,0.005,0.0
1774254087.8297575,0.528,-9999.000000,21.753372,26.0,98.5689,LOW,0.2,0.005,0.0
1774254087.8921013,0.590,-9999.000000,21.752595,26.0,98.5845,LOW,0.2,0.005,0.0
1774254087.9543462,0.652,-9999.000000,21.748332,26.0,98.6697,LOW,0.2,0.005,0.0
1774254088.0321689,0.730,-9999.000000,21.760353,26.0,98.4293,LOW,0.2,0.005,0.0
1774254088.095829,0.794,-9999.000000,21.764232,26.0,98.3517,LOW,0.2,0.005,0.0
1774254088.1588113,0.857,-9999.000000,21.766944,26.0,98.2975,LOW,0.2,0.005,0.0
1774254088.2221565,0.920,-9999.000000,21.778191,26.0,98.0725,LOW,0.2,0.005,0.0
1774254088.2840536,0.982,-9999.000000,21.779355,26.0,98.0493,LOW,0.2,0.005,0.0
1774254088.3472679,1.045,-9999.000000,21.790603,26.0,97.8243,LOW,0.2,0.005,0.0
1774254088.4123209,1.110,-9999.000000,21.797584,26.0,97.6847,LOW,0.2,0.005,0.0
1774254088.4755273,1.173,-9999.000000,21.806117,26.0,97.5140,LOW,0.2,0.005,0.0
1774254088.5361123,1.234,-9999.000000,21.818527,26.0,97.2658,LOW,0.2,0.005,0.0
1774254088.6015425,1.299,-9999.000000,21.826287,26.0,97.1106,LOW,0.2,0.005,0.0
1774254088.6596897,1.358,-9999.000000,21.842965,26.0,96.7771,LOW,0.2,0.005,0.0
1774254088.7251403,1.423,-9999.000000,21.852664,26.0,96.5831,LOW,0.2,0.005,0.0
1774254088.7895775,1.487,-9999.000000,21.867792,26.0,96.2805,LOW,0.2,0.005,0.0
1774254088.8547041,1.553,-9999.000000,21.880595,26.0,96.0245,LOW,0.2,0.005,0.0
1774254088.9166296,1.615,-9999.000000,21.895727,26.0,95.7218,LOW,0.2,0.005,0.0
1774254088.9794993,1.677,-9999.000000,21.916678,26.0,95.3028,LOW,0.2,0.005,0.0
1774254089.0431278,1.741,-9999.000000,21.929870,26.0,95.0390,LOW,0.2,0.005,0.0
1774254089.106612,1.804,-9999.000000,21.950049,26.0,94.6354,LOW,0.2,0.005,0.0
1774254089.1690352,1.867,-9999.000000,21.962855,26.0,94.3793,LOW,0.2,0.005,0.0
1774254089.2311585,1.929,-9999.000000,21.990800,26.0,93.8204,LOW,0.2,0.005,0.0
1774254089.2956357,1.994,-9999.000000,21.989248,26.0,93.8514,LOW,0.2,0.005,0.0
1774254089.3484657,2.046,-9999.000000,22.024568,26.0,93.2500,LOW,0.2,0.005,0.0
1774254089.415321,2.113,-9999.000000,22.043979,26.0,92.9940,LOW,0.2,0.005,0.0
1774254089.4811761,2.179,-9999.000000,22.081636,26.0,92.3699,LOW,0.2,0.005,0.0
1774254089.5337138,2.232,-9999.000000,22.082024,26.0,92.4651,LOW,0.2,0.005,0.0
1774254089.5967171,2.295,-9999.000000,22.122793,26.0,91.7718,LOW,0.2,0.005,0.0
1774254089.6599004,2.358,-9999.000000,22.131336,26.0,91.7232,LOW,0.2,0.005,0.0
1774254089.7229795,2.421,-9999.000000,22.148811,26.0,91.4952,LOW,0.2,0.005,0.0
1774254089.7862692,2.484,-9999.000000,22.174444,26.0,91.1036,LOW,0.2,0.005,0.0
1774254089.8496926,2.548,-9999.000000,22.202409,26.0,90.6647,LOW,0.2,0.005,0.0
1774254089.9116783,2.610,-9999.000000,22.238536,26.0,90.0587,LOW,0.2,0.005,0.0
1774254089.975175,2.673,-9999.000000,22.250194,26.0,89.9446,LOW,0.2,0.005,0.0
1774254090.0383306,2.736,-9999.000000,22.275059,26.0,89.5649,LOW,0.2,0.005,0.0
1774254090.099099,2.797,-9999.000000,22.305367,26.0,89.0710,LOW,0.2,0.005,0.0
1774254090.1649892,2.863,-9999.000000,22.329459,26.0,88.7101,LOW,0.2,0.005,0.0
1774254090.22842,2.926,-9999.000000,22.357057,26.0,88.2737,LOW,0.2,0.005,0.0
1774254090.489651,3.188,-9999.000000,22.482241,26.0,86.2295,LOW,0.2,0.005,0.0
1774254090.553272,3.251,-9999.000000,22.509464,26.0,85.7961,LOW,0.2,0.005,0.0
1774254090.6166432,3.315,-9999.000000,22.540191,26.0,85.2912,LOW,0.2,0.005,0.0
1774254090.7272396,3.425,-9999.000000,22.585706,26.0,84.5697,LOW,0.2,0.005,0.0
1774254090.8059158,3.504,-9999.000000,22.624615,26.0,83.9243,LOW,0.2,0.005,0.0
1774254090.8689055,3.567,-9999.000000,22.660806,26.0,83.3056,LOW,0.2,0.005,0.0
1774254090.9796045,3.677,-9999.000000,22.706734,26.0,82.5693,LOW,0.2,0.005,0.0
1774254091.0427792,3.741,-9999.000000,22.744883,26.0,81.9092,LOW,0.2,0.005,0.0
1774254091.106087,3.804,-9999.000000,22.774084,26.0,81.4273,LOW,0.2,0.005,0.0
1774254091.1688588,3.867,-9999.000000,22.806403,26.0,80.8811,LOW,0.2,0.005,0.0
1774254091.231991,3.930,-9999.000000,22.824320,26.0,80.6230,LOW,0.2,0.005,0.0
1774254091.304714,4.003,-9999.000000,22.886643,26.0,79.4898,LOW,0.2,0.005,0.0
1774254091.3586752,4.057,-9999.000000,22.899888,26.0,79.3085,LOW,0.2,0.005,0.0
1774254091.422385,4.120,-9999.000000,22.941580,26.0,78.5721,LOW,0.2,0.005,0.0
1774254091.485409,4.183,-9999.000000,22.966909,26.0,78.1611,LOW,0.2,0.005,0.0
1774254091.5488892,4.247,-9999.000000,23.001989,26.0,77.5547,LOW,0.2,0.005,0.0
1774254091.6282618,4.326,-9999.000000,23.035513,26.0,77.0018,LOW,0.2,0.005,0.0
1774254091.6915474,4.389,-9999.000000,23.067482,26.0,76.4552,LOW,0.2,0.005,0.0
1774254091.7682643,4.466,-9999.000000,23.102576,26.0,75.8645,LOW,0.2,0.005,0.0
1774254091.8499076,4.548,-9999.000000,23.152108,26.0,74.9901,LOW,0.2,0.005,0.0
1774254091.9133284,4.611,-9999.000000,23.151719,26.0,75.0882,LOW,0.2,0.005,0.0
1774254091.976804,4.675,-9999.000000,23.216481,26.0,73.8813,LOW,0.2,0.005,0.0
1774254092.0401723,4.738,-9999.000000,23.244576,26.0,73.4067,LOW,0.2,0.005,0.0
1774254092.1030157,4.801,-9999.000000,23.274628,26.0,72.8913,LOW,0.2,0.005,0.0
1774254092.1509206,4.849,-9999.000000,23.328497,26.0,71.8779,LOW,0.2,0.005,0.0
1774254092.2314813,4.929,-9999.000000,23.324592,26.0,72.0638,LOW,0.2,0.005,0.0
1774254092.2952704,4.993,-9999.000000,23.378474,26.0,71.0698,LOW,0.2,0.005,0.0
1774254092.342776,5.041,-9999.000000,23.406595,26.0,70.5689,LOW,0.2,0.005,0.0
1774254092.4221277,5.120,-9999.000000,23.449560,26.0,69.8108,LOW,0.2,0.005,0.0
1774254092.501156,5.199,-9999.000000,23.496053,26.0,68.9799,LOW,0.2,0.005,0.0
1774254092.5489733,5.247,-9999.000000,23.523018,26.0,68.4998,LOW,0.2,0.005,0.0
1774254092.6125305,5.310,-9999.000000,23.544904,26.0,68.1401,LOW,0.2,0.005,0.0
1774254092.659699,5.358,-9999.000000,23.581646,26.0,67.4623,LOW,0.2,0.005,0.0
1774254092.7550673,5.453,-9999.000000,23.615661,26.0,66.8957,LOW,0.2,0.005,0.0
1774254092.8498516,5.548,-9999.000000,23.675102,26.0,65.8171,LOW,0.2,0.005,0.0
1774254092.9133604,5.611,-9999.000000,23.686443,26.0,65.6637,LOW,0.2,0.005,0.0
1774254092.976608,5.674,-9999.000000,23.745516,26.0,64.5536,LOW,0.2,0.005,0.0
1774254093.0400333,5.738,-9999.000000,23.772517,26.0,64.0842,LOW,0.2,0.005,0.0
1774254093.0875173,5.785,-9999.000000,23.797172,26.0,63.6434,LOW,0.2,0.005,0.0
1774254093.1826997,5.881,-9999.000000,23.840228,26.0,62.8851,LOW,0.2,0.005,0.0
1774254093.245946,5.944,-9999.000000,23.877814,26.0,62.2004,LOW,0.2,0.005,0.0
1774254093.3093967,6.007,-9999.000000,23.906792,26.0,61.6873,LOW,0.2,0.005,0.0
1774254093.3572953,6.055,-9999.000000,23.900527,26.0,61.8629,LOW,0.2,0.005,0.0
1774254093.436289,6.134,-9999.000000,23.974162,26.0,60.4702,LOW,0.2,0.005,0.0
1774254093.5146377,6.213,-9999.000000,24.008643,26.0,59.8586,LOW,0.2,0.005,0.0
1774254093.609372,6.307,-9999.000000,24.050576,26.0,59.1123,LOW,0.2,0.005,0.0
1774254093.6724021,6.370,-9999.000000,24.090949,26.0,58.3650,LOW,0.2,0.005,0.0
1774254093.752046,6.450,-9999.000000,24.123493,26.0,57.7888,LOW,0.2,0.005,0.0
1774254093.8150027,6.513,-9999.000000,24.165060,26.0,57.0152,LOW,0.2,0.005,0.0
1774254093.8792,6.577,-9999.000000,24.188593,26.0,56.6027,LOW,0.2,0.005,0.0
1774254093.926699,6.625,-9999.000000,24.214485,26.0,56.1273,LOW,0.2,0.005,0.0
1774254093.9904213,6.688,-9999.000000,24.246267,26.0,55.5475,LOW,0.2,0.005,0.0
1774254094.0554583,6.753,-9999.000000,24.273345,26.0,55.0621,LOW,0.2,0.005,0.0
1774254094.1069467,6.805,-9999.000000,24.303960,26.0,54.4935,LOW,0.2,0.005,0.0
1774254094.2298424,6.928,-9999.000000,24.355780,26.0,53.5581,LOW,0.2,0.005,0.0
1774254094.293027,6.991,-9999.000000,24.391517,26.0,52.8942,LOW,0.2,0.005,0.0
1774254094.3404562,7.038,-9999.000000,24.411546,26.0,52.5313,LOW,0.2,0.005,0.0
1774254094.4074628,7.105,-9999.000000,24.446116,26.0,51.8919,LOW,0.2,0.005,0.0
1774254094.4988205,7.197,-9999.000000,24.479906,26.0,51.2856,LOW,0.2,0.005,0.0
1774254094.5620182,7.260,-9999.000000,24.512523,26.0,50.6802,LOW,0.2,0.005,0.0
1774254094.6253266,7.323,-9999.000000,24.544758,26.0,50.0816,LOW,0.2,0.005,0.0
1774254094.704343,7.402,-9999.000000,24.571883,26.0,49.5955,LOW,0.2,0.005,0.0
1774254094.8083208,7.506,-9999.000000,24.619859,26.0,48.7077,LOW,0.2,0.005,0.0
1774254094.877378,7.575,-9999.000000,24.654866,26.0,48.0540,LOW,0.2,0.005,0.0
1774254094.9561136,7.654,-9999.000000,24.683587,26.0,47.5314,LOW,0.2,0.005,0.0
1774254095.036289,7.734,-9999.000000,24.738286,26.0,46.4880,LOW,0.2,0.005,0.0
1774254095.1154962,7.813,-9999.000000,24.752457,26.0,46.2540,LOW,0.2,0.005,0.0
1774254095.1944492,7.892,-9999.000000,24.798124,26.0,45.3881,LOW,0.2,0.005,0.0
1774254095.2737222,7.972,-9999.000000,24.819783,26.0,45.0017,LOW,0.2,0.005,0.0
1774254095.352856,8.051,-9999.000000,24.859562,26.0,44.2513,LOW,0.2,0.005,0.0
1774254095.432186,8.130,-9999.000000,24.882804,26.0,43.8308,LOW,0.2,0.005,0.0
1774254095.4954638,8.193,-9999.000000,24.912747,26.0,43.2663,LOW,0.2,0.005,0.0
1774254095.5589793,8.257,-9999.000000,24.936788,26.0,42.8192,LOW,0.2,0.005,0.0
1774254095.6535022,8.351,-9999.000000,24.976597,26.0,42.0714,LOW,0.2,0.005,0.0
1774254095.7374508,8.435,-9999.000000,24.985271,26.0,41.9406,LOW,0.2,0.005,0.0
1774254095.795926,8.494,-9999.000000,25.036133,26.0,40.9515,LOW,0.2,0.005,0.0
1774254095.8435354,8.541,-9999.000000,25.054277,26.0,40.6111,LOW,0.2,0.005,0.0
1774254095.922981,8.621,-9999.000000,25.076366,26.0,40.2060,LOW,0.2,0.005,0.0
1774254096.0021408,8.700,-9999.000000,25.102799,26.0,39.7129,LOW,0.2,0.005,0.0
1774254096.0494988,8.747,-9999.000000,25.122526,26.0,39.3391,LOW,0.2,0.005,0.0
1774254096.1131172,8.811,-9999.000000,25.148967,26.0,38.8374,LOW,0.2,0.005,0.0
1774254096.192857,8.891,-9999.000000,25.176994,26.0,38.3096,LOW,0.2,0.005,0.0
1774254096.2566824,8.955,-9999.000000,25.199495,26.0,37.8852,LOW,0.2,0.005,0.0
1774254096.3522596,9.050,-9999.000000,25.228714,26.0,37.3376,LOW,0.2,0.005,0.0
1774254096.4154503,9.113,-9999.000000,25.251618,26.0,36.9032,LOW,0.2,0.005,0.0
1774254096.4949539,9.193,-9999.000000,25.279268,26.0,36.3789,LOW,0.2,0.005,0.0
1774254096.558115,9.256,-9999.000000,25.299811,26.0,35.9901,LOW,0.2,0.005,0.0
1774254096.621997,9.320,-9999.000000,25.317988,26.0,35.6484,LOW,0.2,0.005,0.0
1774254096.7174501,9.415,-9999.000000,25.355529,26.0,34.9283,LOW,0.2,0.005,0.0
1774254096.797258,9.495,-9999.000000,25.376477,26.0,34.5342,LOW,0.2,0.005,0.0
1774254096.876412,9.574,-9999.000000,25.401781,26.0,34.0518,LOW,0.2,0.005,0.0
1774254096.9240408,9.622,-9999.000000,25.417992,26.0,33.7415,LOW,0.2,0.005,0.0
1774254096.9874873,9.685,-9999.000000,25.446463,26.0,33.1896,LOW,0.2,0.005,0.0
1774254097.066874,9.765,-9999.000000,25.455957,26.0,33.0213,LOW,0.2,0.005,0.0
1774254097.1303487,9.828,-9999.000000,25.474941,26.0,32.6583,LOW,0.2,0.005,0.0
1774254097.1939085,9.892,-9999.000000,25.506987,26.0,32.0330,LOW,0.2,0.005,0.0
1774254097.289817,9.988,-9999.000000,25.524793,26.0,31.6997,LOW,0.2,0.005,0.0
1774254097.3694375,10.067,-9999.000000,25.544581,26.0,31.3221,LOW,0.2,0.005,0.0
1774254097.4332805,10.131,-9999.000000,25.560016,26.0,31.0274,LOW,0.2,0.005,0.0
1774254097.4967425,10.195,-9999.000000,25.577039,26.0,30.7004,LOW,0.2,0.005,0.0
1774254097.5599413,10.258,-9999.000000,25.598814,26.0,30.2776,LOW,0.2,0.005,0.0
1774254097.6125739,10.310,-9999.000000,25.609503,26.0,30.0741,LOW,0.2,0.005,0.0
1774254097.7033653,10.401,-9999.000000,25.627322,26.0,29.7346,LOW,0.2,0.005,0.0
1774254097.7671428,10.465,-9999.000000,25.641182,26.0,29.4688,LOW,0.2,0.005,0.0
1774254097.8310435,10.529,-9999.000000,25.662572,26.0,29.0518,LOW,0.2,0.005,0.0
1774254097.8950524,10.593,-9999.000000,25.684361,26.0,28.6261,LOW,0.2,0.005,0.0
1774254097.9426296,10.641,-9999.000000,25.701000,26.0,28.3005,LOW,0.2,0.005,0.0
1774254098.0068836,10.705,-9999.000000,25.711303,26.0,28.1037,LOW,0.2,0.005,0.0
1774254098.054589,10.752,-9999.000000,25.737459,26.0,27.5868,LOW,0.2,0.005,0.0
1774254098.1182644,10.816,-9999.000000,25.731909,26.0,27.7064,LOW,0.2,0.005,0.0
1774254098.1822922,10.880,-9999.000000,25.751330,26.0,27.3259,LOW,0.2,0.005,0.0
1774254098.2623765,10.960,-9999.000000,25.767981,26.0,27.0022,LOW,0.2,0.005,0.0
1774254098.326171,11.024,-9999.000000,25.777098,26.0,26.8269,LOW,0.2,0.005,0.0
1774254098.3899715,11.088,-9999.000000,25.794543,26.0,26.4846,LOW,0.2,0.005,0.0
1774254098.4858918,11.184,-9999.000000,25.814369,26.0,26.0970,LOW,0.2,0.005,0.0
1774254098.5657198,11.264,-9999.000000,25.819921,26.0,25.9931,LOW,0.2,0.005,0.0
1774254098.629195,11.327,-9999.000000,25.852444,26.0,25.3567,HIGH,0.6,0.015,0.001
1774254098.7153199,11.413,-9999.000000,25.858395,26.0,25.0623,HIGH,0.6,0.015,0.001
1774254098.8032515,11.501,-9999.000000,25.880215,26.0,23.7510,HIGH,0.6,0.015,0.001
1774254098.8826466,11.581,-9999.000000,25.888545,26.0,23.2788,HIGH,0.6,0.015,0.001
1774254098.946322,11.644,-9999.000000,25.902039,26.0,22.4678,HIGH,0.6,0.015,0.001
1774254099.0256023,11.723,-9999.000000,25.920689,26.0,21.3559,HIGH,0.6,0.015,0.001
1774254099.1208658,11.819,-9999.000000,25.925850,26.0,21.0749,HIGH,0.6,0.015,0.001
1774254099.2001023,11.898,-9999.000000,25.945695,26.0,19.8711,HIGH,0.6,0.015,0.001
