u_duty,y_temp,d_amb
0.33454562744663546,26.083112654737988,22.10493194844571
0.3632670261231155,26.084701925123795,22.10376652094328
0.4096394826867141,26.067617541520747,22.102601098647824
0.43909605734555635,26.083908789632517,22.100660696751447
0.4735501744980253,26.084701925123795,22.098720309277553
0.5017133667257039,26.083112654737988,22.098329885098394
0.5157247819366273,26.083112654737988,22.090565555432477
0.5115099491729247,26.081922967964488,22.095611609616526
0.48501270601598756,26.090266027731673,22.095611609616526
0.4512951336589476,26.085498069814605,22.094058741386107
0.40561162972770737,26.083908789632517,22.08784736063194
0.3513411206506307,26.08351222371317,22.091730924049955
0.29658746338609776,26.08231952900502,22.092505882376372
0.25209126887042643,26.08510149901548,22.091730924049955
0.2218201404622568,26.08510149901548,22.094058741386107
0.20508021199945048,26.085498069814605,22.092118402926246
0.20905804437257675,26.083908789632517,22.092118402926246
0.22953310609481092,26.085498069814605,22.090953032583343
0.2660531326546228,26.086690793875675,22.091340510307873
0.315225007618716,26.087883528954308,22.08978766742922
0.3651589023869035,26.088676688859948,22.092896297857294
0.41771561788513567,26.09106220673584,22.090953032583343
0.46466358003217756,26.0934447641946,22.091340510307873
0.4978901949325883,26.089472858060276,22.090953032583343
0.5182347099873439,26.0934447641946,22.090178078855104
0.532793688485411,26.090662614395285,22.092118402926246
0.5360990866170992,26.09265157498527,22.08978766742922
0.5302122475201307,26.0934447641946,22.08784736063194
0.5152584329938856,26.09583037022287,22.087459888076523
0.496881404186696,26.0934447641946,22.08784736063194
0.47306100895834957,26.09583037022287,22.084741725500407
0.44226444347649674,26.110932220567065,22.082023591105724
0.4220467046814309,26.097419797219516,22.082023591105724
0.4014313695264108,26.085894641831544,22.081245728454803
0.3709658257637012,26.100995328425427,22.080083341771797
0.3479726600452362,26.100202092774737,22.078918024935547
0.3229259128991213,26.09821602037664,22.08241105562621
0.2952976478230706,26.103777701158265,22.080858265655138
0.2703960873397386,26.1069567707587,22.079305484871384
0.24845125332795231,26.1057668640658,22.07581249549503
0.23059255765239955,26.10616349840882,22.078918024935547
0.21774387458241817,26.108945982759224,22.081636127157367
0.215761203975794,26.101394952780367,22.07969294537895
0.21455652485795268,26.11212517994028,22.07969294537895
0.2258082661817695,26.11411146680166,22.07736525562609
0.2431596492354213,26.116100789362918,22.081245728454803
0.26551796228362273,26.11928016330313,22.081636127157367
0.3037991070185417,26.090266027731673,22.084354257536575
0.32036908454814006,26.120473200078663,22.082801456062782
0.34720208444009854,26.121663242750685,22.0831889217323
0.36638871106646304,26.13557794323816,22.083576387974176
0.39285034838411664,26.12484575947036,22.080470803427488
0.4076225295605022,26.12643554473891,22.082801456062782
0.4240628228828386,26.126035842622173,22.0831889217323
0.43431882570760694,26.128818756852468,22.08241105562621
0.44429334469941945,26.128025349676307,22.082023591105724
0.45286727357484935,26.130408591282617,22.082023591105724
0.46194755662727827,26.131601731370893,22.080858265655138
0.470034645754974,26.134781488821034,22.080470803427488
0.47839328120104896,26.137564592586955,22.07969294537895
0.4886308144035333,26.13239816606267,22.080470803427488
0.4925373228990537,26.13557794323816,22.07969294537895
0.49128495395710237,26.13915453532627,22.080470803427488
0.4855775856255141,26.139554278282617,22.079305484871384
0.4751259044110189,26.138361064275443,22.080858265655138
0.45466912306855034,26.14551750908771,22.082023591105724
0.4332269620100525,26.141144245679413,22.08241105562621
0.4088593253288092,26.141540989198575,22.082023591105724
0.3809206912518601,26.142734232784676,22.083576387974176
0.35324293158279396,26.14472099295972,22.084741725500407
0.32944695667791973,26.14551750908771,22.082801456062782
0.30833910517186186,26.147107550422504,22.081636127157367
0.29316133937237693,26.149094378375366,22.082023591105724
0.28158321691070454,26.15148101727783,22.081245728454803
0.27434100728544647,26.1526713475032,22.078918024935547
0.2688769896315397,26.153467913048985,22.078530565571498
0.2564060912180529,26.17096354610237,22.07697779855266
0.25570827570841836,26.15744480307859,22.075034651241708
0.2459847742825715,26.16022839899705,22.07581249549503
0.23554860288949164,26.161418810549378,22.075034651241708
0.2247862759636625,26.161418810549378,22.07697779855266
0.21155740276034463,26.163408866715486,22.07425974453855
0.1967671297641516,26.17056671140506,22.073481904879714
0.1895404170939278,26.16658941350721,22.073481904879714
0.19068606745684913,26.154661267684105,22.07270700275268
0.18608223174589977,26.17056671140506,22.07076388700358
