u,y,d
0.42325897710248017,30.032458538895526,21.480105910665372
0.4448790547561073,30.032458538895526,21.480105910665372
0.4695496100240955,30.030393294193857,21.479719262928313
0.4958359312792269,30.029981498899474,21.480105910665372
0.5240292500298742,30.03122001022956,21.48126878590449
0.5479966845217185,30.03122001022956,21.48126878590449
0.5710654861320272,30.030808211087788,21.48126878590449
0.588534305584149,30.032043614262648,21.482045014854577
0.5998486270860258,30.029981498899474,21.48359454934939
0.6028594100618113,30.03287034571838,21.483981201875906
0.596038547720984,30.03163181128781,21.483204968120674
0.5818650218049105,30.032043614262648,21.483981201875906
0.5602022680543326,30.03287034571838,21.48359454934939
0.529872743562119,30.030393294193857,21.48359454934939
0.4959967699621213,30.032043614262648,21.483981201875906
0.45807646055115436,30.03410889748767,21.48359454934939
0.4206482775612222,30.032458538895526,21.482045014854577
0.38176517418322287,30.03287034571838,21.482045014854577
0.343958506718153,30.033693965114537,21.480882136730827
0.31662541723793713,30.033693965114537,21.480105910665372
0.30058636076678624,30.03163181128781,21.47894303974624
0.2925279201444638,30.032043614262648,21.478556393445217
0.2950977716327615,30.03122001022956,21.47778310227511
0.30835338377467636,30.029569705521283,21.477393528279947
0.3318500201966219,30.033282154457993,21.477006883891534
0.36466133659579336,30.032043614262648,21.477006883891534
0.40103892453029616,30.03122001022956,21.47778310227511
0.44245135452594286,30.032458538895526,21.477006883891534
0.4806104360272819,30.032043614262648,21.477393528279947
0.5152366589354018,30.03287034571838,21.478556393445217
0.5489376660346257,30.032043614262648,21.478556393445217
0.5870884267017168,30.02915479443442,21.481655435555865
0.6038624958284948,30.030808211087788,21.482045014854577
0.6183936268725121,30.03122001022956,21.4824316654653
0.6256573000175901,30.029569705521283,21.48553074596674
0.6267038901204948,30.02915479443442,21.487466954581294
0.6212115685296765,30.02915479443442,21.48862985720433
0.6118253003032545,30.030808211087788,21.49095567544856
0.6003049852647714,30.026680966448282,21.492505254155674
0.5847338774799705,30.02750452823858,21.495217767750717
0.567232906849702,30.02626918842668,21.496767367650364
0.5503531606078116,30.028331217287985,21.49947991836831
0.5348875773534799,30.025854292812028,21.501802888269424
0.5190461361361405,30.025030746375478,21.50296584441196
0.5034579794065328,30.025030746375478,21.50529176975624
0.4867824147096563,30.023380557064513,21.508004394875343
0.4716914023347847,30.023380557064513,21.510327428543746
0.45587036771197986,30.021315524165402,21.512266720927357
0.44108387423806616,30.02173039851033,21.51420309597802
0.42561211597735366,30.01842705440538,21.51575279063485
0.4101838702655592,30.018841915218616,21.518852203233337
0.3938171122571815,30.021315524165402,21.52117824784085
0.3780914362980453,30.019253658699085,21.52234127671136
0.36268528446367654,30.019253658699085,21.525440755398165
0.34820119447985237,30.015953526128385,21.526990506416723
0.33532156539276314,30.015953526128385,21.530090031823647
0.32373357489382193,30.018841915218616,21.5316398062198
0.3150446518484236,30.01842705440538,21.53357630277077
0.30946350651393484,30.01719184123442,21.535902458461294
0.30825742766122877,30.01554179798819,21.53822863174895
0.3128507643994222,30.016776988149672,21.541714994970505
0.3205953826987991,30.01554179798819,21.543264827972166
0.3333600446868145,30.016365256182155,21.54520139779345
0.34847067119219505,30.0138886663878,21.548690770062535
0.3655258006279929,30.013065231212636,21.548690770062535
0.38483625334983834,30.01347694784363,21.551403777147243
0.40414643987841226,30.01223868466076,21.55217725225515
0.42361597297128306,30.01223868466076,21.554503549026435
0.44175488035723354,30.01058873365662,21.556440189941952
0.45895745548121164,30.01223868466076,21.559153265790314
0.47647466428507856,30.009765329145125,21.56070318711261
0.4921800248361575,30.010177030444595,21.562253116308625
0.5048362349260206,30.00770061359424,21.564966243848573
0.516250246281709,30.009353629758095,21.566129438755524
0.5259124912112355,30.009353629758095,21.56845584189773
0.5343980847736843,30.007288923797375,21.570005810535804
0.542128170317564,30.00481570639755,21.572719007165006
0.5487744572784135,30.004400911244204,21.574268997533352
0.5550741932719614,30.003577564207433,21.57659253288034
0.5612671613354141,30.002339439305956,21.57775577226164
0.5673589915337109,30.003162774846203,21.580855812341554
0.5736246316702578,30.00068967253469,21.582019068072327
0.5798992180660889,29.998628286862584,21.58434559292982
0.5862442787441552,29.998213520648335,21.586282423855096
0.5916617425854999,29.999451587950716,21.588608981473953
0.5954503705067062,29.998213520648335,21.591322344579453
0.5973440129796658,29.9953258036154,21.592872430116017
0.5965791225373396,29.992852919781626,21.594809315662474
0.5923933503864274,29.994090912279376,21.597135938937356
0.585547846845303,29.990376986595038,21.600236177689283
0.5749736623502902,29.991203329412315,21.602949645340004
0.562471276589963,29.98955376970224,21.603723251826978
0.5469171081904934,29.986666334435768,21.606049943925882
0.527947267593438,29.98748952455236,21.608763463993625
0.5077954348368656,29.98584003385065,21.61108726468973
0.4870991201465204,29.98460215641967,21.61302719782907
0.46731433802150296,29.982952719354273,21.615737850481082
0.4460505576497903,29.98212957129499,21.617677813688715
0.4294982851863929,29.980065498725764,21.619614858965576
0.4149811791172359,29.98048018015004,21.622328501705454
0.40419536049099103,29.97759303988596,21.624265577067604
0.39520819275857977,29.98048018015004,21.626592428504352
0.38955491776022527,29.979653937120986,21.628142696000623
0.3848161062818321,29.97594373296687,21.629306134546823
0.3803527087282498,29.978416145906806,21.63007980903592
0.3769887699318705,29.97594373296687,21.632019865245866
0.37313076211448654,29.975117532125182,21.632019865245866
0.36828391103234154,29.974294456660687,21.633183318901388
0.36198996154550567,29.97470599344001,21.63512046465246
0.35481631054961454,29.97346827115257,21.635894154218306
0.34477302238786245,29.972645210962412,21.635507309184334
0.33221409870630303,29.970992878287234,21.637057622990085
0.3202475933739157,29.970992878287234,21.637834248250215
0.3121208866873984,29.972230566102326,21.639384574164524
0.3056781295613515,29.968932181895127,21.639771424233174
0.30167000185515197,29.968109163704014,21.64015827480449
0.30089829283899583,29.96769454000122,21.639771424233174
0.3042506816466001,29.96728303568159,21.64015827480449
0.31286949506007206,29.96646003275555,21.640548056570424
0.32590919632876914,29.964396324066968,21.64015827480449
0.3427558861944534,29.964396324066968,21.638997724598426
0.3592016401630016,29.964807815028223,21.63822109630496
0.3775415066444291,29.961924301016552,21.637834248250215
0.398526599469928,29.962747261969298,21.637447400697738
