time,temp,duty
1774232892.61317,23.53229675292969,50.0
1774232892.670992,23.5904541015625,50.0
1774232892.7373078,23.56583251953125,50.0
1774232892.8000667,23.53790283203125,50.0
1774232892.8621378,23.57559814453125,50.0
1774232892.9250073,22.939639282226562,50.0
1774232892.988462,23.308294677734374,50.0
1774232893.0509477,23.523336791992186,50.0
1774232893.1127694,23.52059326171875,50.0
1774232893.1749995,22.9804931640625,50.0
1774232893.2379694,23.3232666015625,50.0
1774232893.3001938,23.197671508789064,50.0
1774232893.3622694,23.669415283203126,50.0
1774232893.4248483,23.478240966796875,50.0
1774232893.4873106,23.501666259765624,50.0
1774232893.5512302,23.793289184570312,50.0
1774232893.6147869,23.5151611328125,50.0
1774232893.6763594,23.823394775390625,50.0
1774232893.738669,24.081869506835936,50.0
1774232893.8016722,23.799798583984376,50.0
1774232893.8654685,23.30101623535156,50.0
1774232893.9269369,23.642391967773438,50.0
1774232893.9891624,23.32860412597656,50.0
1774232894.0509248,23.337628173828126,50.0
1774232894.112016,23.325579833984374,50.0
1774232894.1752303,23.009585571289062,50.0
1774232894.2377744,24.129165649414062,50.0
1774232894.2999766,23.481814575195312,50.0
1774232894.3623633,23.865567016601563,50.0
1774232894.425834,23.289840698242188,50.0
1774232894.4873972,23.63426818847656,50.0
1774232894.549823,23.638189697265624,50.0
1774232894.6110108,23.683770751953126,50.0
1774232894.6737032,23.790408325195312,50.0
1774232894.736622,23.606805419921876,50.0
1774232894.800912,23.84271240234375,50.0
1774232894.8629627,23.3744384765625,50.0
1774232894.9268236,23.746804809570314,50.0
1774232894.9886365,23.381451416015626,50.0
1774232895.0506573,23.211492919921874,50.0
1774232895.1131,23.33502197265625,50.0
1774232895.1759052,23.3266845703125,50.0
1774232895.238041,23.130538940429688,50.0
1774232895.3008218,23.489456176757812,50.0
1774232895.36232,23.56158447265625,50.0
1774232895.425102,23.57451477050781,50.0
1774232895.4864612,23.672970581054688,50.0
1774232895.5500667,23.160650634765624,50.0
1774232895.6118162,23.695175170898438,50.0
1774232895.6752138,23.42615661621094,50.0
1774232895.7373116,23.650161743164062,50.0
1774232895.800975,23.575115966796876,50.0
1774232895.8623974,23.41043701171875,50.0
1774232895.9262152,23.719097900390626,50.0
1774232895.9885948,23.4421142578125,50.0
1774232896.0511708,23.5702880859375,50.0
1774232896.113125,23.460922241210938,50.0
1774232896.1757934,23.778091430664062,50.0
1774232896.2352898,23.664288330078126,50.0
1774232896.299075,23.58951416015625,50.0
1774232896.3612714,24.13622131347656,50.0
1774232896.4234583,23.694931030273438,50.0
1774232896.486277,23.79337158203125,50.0
1774232896.5489173,23.66234130859375,50.0
1774232896.611233,23.75841369628906,50.0
1774232896.6730313,23.558926391601563,50.0
1774232896.7369514,23.576373291015624,50.0
1774232896.799733,23.098199462890626,50.0
1774232896.861192,23.499371337890626,50.0
1774232896.92369,23.44112548828125,50.0
1774232896.9859946,23.55811767578125,50.0
1774232897.0495644,23.2766357421875,50.0
1774232897.1121192,24.175320434570313,50.0
1774232897.175706,23.909686279296874,50.0
1774232897.2368984,23.777886962890626,50.0
1774232897.2987535,23.088577270507812,50.0
1774232897.3611813,24.490066528320312,50.0
1774232897.4234798,23.78705749511719,50.0
1774232897.486788,24.079791259765624,50.0
1774232897.5487087,23.3756103515625,50.0
1774232897.6112056,23.814376831054688,50.0
1774232897.6731486,23.7814697265625,50.0
1774232897.7356122,23.694674682617187,50.0
1774232897.7968764,23.535687255859376,50.0
1774232897.8611357,23.632989501953126,50.0
1774232897.923069,23.64649353027344,50.0
1774232897.9847822,23.777926635742187,50.0
1774232898.0482934,23.649227905273438,50.0
1774232898.1102257,23.576934814453125,50.0
1774232898.1715713,23.68848571777344,50.0
1774232898.234042,23.440426635742188,50.0
1774232898.2965896,23.632305908203126,50.0
1774232898.3578417,23.490542602539062,50.0
1774232898.4348207,23.666348266601563,50.0
1774232898.4840698,23.456314086914062,50.0
1774232898.5463493,23.898468017578125,50.0
1774232898.6093316,23.723159790039062,50.0
1774232898.6706698,23.77138671875,50.0
1774232898.7330093,23.742691040039062,50.0
1774232898.7953174,23.804049682617187,50.0
1774232898.857333,23.80352783203125,50.0
1774232898.9206653,23.764093017578126,50.0
1774232898.9970958,23.62657775878906,50.0
1774232899.061143,23.745132446289062,50.0
1774232899.1231425,23.77325439453125,50.0
1774232899.1876705,23.692996215820312,50.0
1774232899.2511754,24.010336303710936,50.0
1774232899.3139868,23.827386474609376,50.0
1774232899.3755186,23.902777099609374,50.0
1774232899.439171,23.911956787109375,50.0
1774232899.5018752,23.656082153320312,50.0
1774232899.5649989,23.979302978515626,50.0
1774232899.6268313,24.118429565429686,50.0
1774232899.6885147,23.82889404296875,50.0
1774232899.7510629,24.661398315429686,50.0
1774232899.8132882,23.980126953125,50.0
1774232899.8764436,24.770730590820314,50.0
1774232899.9392884,24.290463256835938,50.0
1774232900.0022788,24.110018920898437,50.0
1774232900.0647035,24.413406372070312,50.0
1774232900.126546,24.235223388671876,50.0
1774232900.1884964,23.640011596679688,50.0
1774232900.251485,24.498135375976563,50.0
1774232900.3133419,23.973355102539063,50.0
1774232900.3750887,24.02880859375,50.0
1774232900.4379766,23.926736450195314,50.0
1774232900.5000494,23.91795959472656,50.0
1774232900.561796,23.805331420898437,50.0
1774232900.6252072,23.926907348632813,50.0
1774232900.6874502,23.777865600585937,50.0
1774232900.7494423,24.031069946289062,50.0
1774232900.8108552,24.4826171875,50.0
1774232900.889326,24.305099487304688,50.0
1774232900.9662142,24.825888061523436,50.0
1774232901.0297444,24.48497619628906,50.0
1774232901.0904863,24.897930908203126,50.0
1774232901.1533427,24.076437377929686,50.0
1774232901.2154722,24.23065185546875,50.0
1774232901.2775106,24.161538696289064,50.0
1774232901.3399546,24.0807861328125,50.0
1774232901.4017582,23.967291259765624,50.0
1774232901.4645085,24.10301513671875,50.0
1774232901.526116,24.234234619140626,50.0
1774232901.5897303,24.162802124023436,50.0
1774232901.6500146,24.62256774902344,50.0
1774232901.7133422,24.236553955078126,50.0
1774232901.7734334,24.569747924804688,50.0
1774232901.838385,23.861880493164062,50.0
1774232901.9003623,24.02478942871094,50.0
1774232901.9635015,24.081008911132812,50.0
1774232902.0255973,24.329315185546875,50.0
1774232902.0875611,24.03941650390625,50.0
1774232902.1501567,23.907821655273438,50.0
1774232902.2142162,24.234686279296874,50.0
1774232902.2754676,24.288177490234375,50.0
1774232902.3381934,24.190338134765625,50.0
1774232902.4000862,24.13837890625,50.0
1774232902.4634032,24.129782104492186,50.0
1774232902.524965,24.22266845703125,50.0
1774232902.5884328,24.166262817382812,50.0
1774232902.6512573,23.955972290039064,50.0
1774232902.7153957,24.559869384765626,50.0
1774232902.7780972,24.002236938476564,50.0
1774232902.840257,24.130145263671874,50.0
1774232902.9028263,24.34333190917969,50.0
1774232902.9655607,24.493408203125,50.0
1774232903.0279129,24.0631591796875,50.0
1774232903.0897667,24.048928833007814,50.0
1774232903.1513104,24.17645263671875,50.0
1774232903.2154827,24.704696655273438,50.0
1774232903.2784374,24.389187622070313,50.0
1774232903.3405812,23.93897399902344,50.0
1774232903.4020352,24.349807739257812,50.0
