Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774496637.2472737,0.210,-9999.000000,22.537859,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.3271337,0.290,-9999.000000,22.535135,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.4057178,0.369,-9999.000000,22.533580,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.4882116,0.451,-9999.000000,22.531633,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.5863383,0.549,-9999.000000,22.530077,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.667086,0.630,-9999.000000,22.529301,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.7347023,0.698,-9999.000000,22.526966,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.8282135,0.791,-9999.000000,22.527354,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.8948529,0.858,-9999.000000,22.526966,30.0,100.0000,LOW,0.2,0.005,0.0
1774496637.9623117,0.925,-9999.000000,22.527354,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.0237582,0.987,-9999.000000,22.526578,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.0979981,1.061,-9999.000000,22.526966,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.1650386,1.128,-9999.000000,22.528134,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.2225275,1.185,-9999.000000,22.529689,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.2882612,1.251,-9999.000000,22.531633,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.3563144,1.319,-9999.000000,22.533580,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.4157984,1.379,-9999.000000,22.535912,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.4825454,1.445,-9999.000000,22.538635,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.5402937,1.503,-9999.000000,22.541358,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.604704,1.568,-9999.000000,22.543693,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.6616316,1.624,-9999.000000,22.546416,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.7279258,1.691,-9999.000000,22.550695,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.7828157,1.746,-9999.000000,22.554583,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.842941,1.806,-9999.000000,22.558862,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.9073884,1.870,-9999.000000,22.563921,30.0,100.0000,LOW,0.2,0.005,0.0
1774496638.9698033,1.933,-9999.000000,22.567809,30.0,100.0000,LOW,0.2,0.005,0.0
1774496639.0316615,1.994,-9999.000000,22.572480,30.0,100.0000,LOW,0.2,0.005,0.0
