Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Ambient_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774496923.8092065,0.165,-9999.000000,29.972231,22.167065,30.0,36.1665,HIGH,0.6,0.015,0.001
1774496923.907902,0.263,-9999.000000,29.956563,22.167453,30.0,37.1102,HIGH,0.6,0.015,0.001
1774496924.0031683,0.359,-9999.000000,29.931003,22.169397,30.0,38.6558,HIGH,0.6,0.015,0.001
1774496924.0653203,0.421,-9999.000000,29.958212,22.169006,30.0,36.9584,HIGH,0.6,0.015,0.001
1774496924.1294236,0.485,-9999.000000,29.953676,22.169784,30.0,37.2822,HIGH,0.6,0.015,0.001
1774496924.1930516,0.549,-9999.000000,29.949141,22.170950,30.0,37.5540,HIGH,0.6,0.015,0.001
1774496924.2530494,0.609,-9999.000000,29.945432,22.172503,30.0,37.7734,HIGH,0.6,0.015,0.001
1774496924.3178504,0.673,-9999.000000,29.940486,22.173279,30.0,38.0739,HIGH,0.6,0.015,0.001
1774496924.3784842,0.734,-9999.000000,29.935126,22.174444,30.0,38.3973,HIGH,0.6,0.015,0.001
1774496924.4401586,0.796,-9999.000000,29.931829,22.174444,30.0,38.5979,HIGH,0.6,0.015,0.001
1774496924.5053456,0.861,-9999.000000,29.927295,22.175998,30.0,38.8716,HIGH,0.6,0.015,0.001
1774496924.567015,0.922,-9999.000000,29.933889,22.175610,30.0,38.4662,HIGH,0.6,0.015,0.001
1774496924.6266174,0.982,-9999.000000,29.919054,22.175998,30.0,39.3974,HIGH,0.6,0.015,0.001
1774496924.68913,1.045,-9999.000000,29.913283,22.176385,30.0,39.7343,HIGH,0.6,0.015,0.001
1774496924.7532368,1.109,-9999.000000,29.909987,22.177939,30.0,39.9296,HIGH,0.6,0.015,0.001
1774496924.8203106,1.176,-9999.000000,29.906277,22.176776,30.0,40.1673,HIGH,0.6,0.015,0.001
1774496924.879967,1.235,-9999.000000,29.900922,22.177163,30.0,40.4992,HIGH,0.6,0.015,0.001
1774496924.9406762,1.296,-9999.000000,29.896389,22.177939,30.0,40.7755,HIGH,0.6,0.015,0.001
1774496925.0022306,1.358,-9999.000000,29.891446,22.178717,30.0,41.0792,HIGH,0.6,0.015,0.001
1774496925.065771,1.421,-9999.000000,29.888562,22.178717,30.0,41.2594,HIGH,0.6,0.015,0.001
1774496925.1279001,1.483,-9999.000000,29.874553,22.179883,30.0,42.1243,HIGH,0.6,0.015,0.001
1774496925.19684,1.552,-9999.000000,29.878673,22.178717,30.0,41.8664,HIGH,0.6,0.015,0.001
1774496925.2555282,1.611,-9999.000000,29.874967,22.174057,30.0,42.1332,HIGH,0.6,0.015,0.001
1774496925.379855,1.735,-9999.000000,29.867141,22.178329,30.0,42.6081,HIGH,0.6,0.015,0.001
1774496925.509074,1.865,-9999.000000,29.857666,22.179495,30.0,43.2000,HIGH,0.6,0.015,0.001
1774496925.5762935,1.932,-9999.000000,29.861374,22.180658,30.0,42.9733,HIGH,0.6,0.015,0.001
1774496925.6319478,1.987,-9999.000000,29.850256,22.180658,30.0,43.6784,HIGH,0.6,0.015,0.001
1774496925.6906915,2.046,-9999.000000,29.845726,22.181048,30.0,43.9498,HIGH,0.6,0.015,0.001
1774496925.7560194,2.112,-9999.000000,29.842018,22.181436,30.0,44.1839,HIGH,0.6,0.015,0.001
1774496925.8183606,2.174,-9999.000000,29.823902,22.182989,30.0,45.3037,HIGH,0.6,0.015,0.001
1774496925.8797722,2.235,-9999.000000,29.832960,22.182211,30.0,44.7353,HIGH,0.6,0.015,0.001
1774496925.9390433,2.295,-9999.000000,29.829256,22.182602,30.0,44.9920,HIGH,0.6,0.015,0.001
1774496926.002744,2.358,-9999.000000,29.824727,22.182989,30.0,45.2796,HIGH,0.6,0.015,0.001
1774496926.0655494,2.421,-9999.000000,29.820609,22.183377,30.0,45.5412,HIGH,0.6,0.015,0.001
1774496926.129751,2.485,-9999.000000,29.816906,22.183768,30.0,45.7785,HIGH,0.6,0.015,0.001
1774496926.1995022,2.555,-9999.000000,29.810320,22.183377,30.0,46.1989,HIGH,0.6,0.015,0.001
1774496926.267875,2.623,-9999.000000,29.807439,22.184155,30.0,46.3828,HIGH,0.6,0.015,0.001
1774496926.3261714,2.682,-9999.000000,29.807849,22.185321,30.0,46.3647,HIGH,0.6,0.015,0.001
1774496926.3880067,2.743,-9999.000000,29.799619,22.183377,30.0,46.9000,HIGH,0.6,0.015,0.001
1774496926.4475238,2.803,-9999.000000,29.796738,22.187262,30.0,47.0649,HIGH,0.6,0.015,0.001
1774496926.5045543,2.860,-9999.000000,29.792210,22.185709,30.0,47.3644,HIGH,0.6,0.015,0.001
1774496926.5684767,2.924,-9999.000000,29.788505,22.185709,30.0,47.6049,HIGH,0.6,0.015,0.001
1774496926.6350873,2.991,-9999.000000,29.783978,22.185709,30.0,47.8991,HIGH,0.6,0.015,0.001
1774496926.6974232,3.053,-9999.000000,29.781097,22.186096,30.0,48.0885,HIGH,0.6,0.015,0.001
1774496926.7600653,3.116,-9999.000000,29.777395,22.186484,30.0,48.3171,LOW,0.2,0.005,0.0
1774496926.8158891,3.171,-9999.000000,29.778630,22.186096,30.0,48.3003,LOW,0.2,0.005,0.0
1774496926.8804567,3.236,-9999.000000,29.770813,22.186484,30.0,48.4623,LOW,0.2,0.005,0.0
