time_s,setpoint,temp_sec,temp_amb,duty,error,integral,is_smith,kp,ki
203.31588912010193,31.0,29.994502540815063,22.640180937428738,1.0,1.0054974591849373,4.511332352205637,0,0.8523,0.0284
203.34811091423035,31.0,29.9953258036154,22.640957640532065,1.0,1.0046741963845989,4.536449207115252,0,0.8523,0.0284
203.3783082962036,31.0,29.992852919781626,22.641345993074196,1.0,1.007147080218374,4.561627884120711,0,0.8523,0.0284
203.41596031188965,31.0,29.993264542574593,22.641345993074196,1.0,1.0067354574254068,4.586796270556347,0,0.8523,0.0284
203.45281267166138,31.0,29.994090912279376,22.641345993074196,1.0,1.0059090877206245,4.611943997749362,0,0.8523,0.0284
203.49760556221008,31.0,29.991203329412315,22.642902351935106,1.0,1.0087966705876852,4.637163914514055,0,0.8523,0.0284
203.5241138935089,31.0,29.993264542574593,22.644070363569597,1.0,1.0067354574254068,4.66233230094969,0,0.8523,0.0284
203.5767526626587,31.0,29.994914171260405,22.644458721406977,1.0,1.0050858287395954,4.68745944666818,0,0.8523,0.0284
203.62825393676758,31.0,29.994090912279376,22.645238381181912,1.0,1.0059090877206245,4.712607173861196,0,0.8523,0.0284
203.66398286819458,31.0,29.994914171260405,22.64601804362121,1.0,1.0050858287395954,4.737734319579686,0,0.8523,0.0284
203.6987109184265,31.0,29.99656383061665,22.64601804362121,1.0,1.003436169383349,4.76282022381427,0,0.8523,0.0284
203.7290904521942,31.0,29.993676167276874,22.647574434346893,1.0,1.006323832723126,4.787978319632348,0,0.8523,0.0284
203.77764630317688,31.0,29.994502540815063,22.647574434346893,1.0,1.0054974591849373,4.813115756111971,0,0.8523,0.0284
203.79706740379333,31.0,29.9953258036154,22.648351162614347,1.0,1.0046741963845989,4.838232611021586,0,0.8523,0.0284
203.84645986557007,31.0,29.99574055632877,22.649519202149747,1.0,1.0042594436712307,4.863339097113367,0,0.8523,0.0284
203.89223909378052,31.0,29.994914171260405,22.650687247670817,1.0,1.0050858287395954,4.888466242831857,0,0.8523,0.0284
203.9398808479309,31.0,29.9953258036154,22.651463986545934,1.0,1.0046741963845989,4.913583097741472,0,0.8523,0.0284
203.97152495384216,31.0,29.9953258036154,22.652243670276903,1.0,1.0046741963845989,4.938699952651087,0,0.8523,0.0284
204.01257610321045,31.0,29.99574055632877,22.65302041445881,1.0,1.0042594436712307,4.963806438742868,0,0.8523,0.0284
204.05086588859558,31.0,29.996975470625557,22.65418847793171,1.0,1.0030245293744429,4.988882051977229,0,0.8523,0.0284
204.09838557243347,31.0,29.9953258036154,22.655356547397048,1.0,1.0046741963845989,5.013998906886844,0,0.8523,0.0284
204.13057255744934,31.0,29.99615219251774,22.65613624445649,1.0,1.0038478074822592,5.0390951020739,0,0.8523,0.0284
204.1778383255005,31.0,29.99615219251774,22.657301381644572,1.0,1.0038478074822592,5.064191297260956,0,0.8523,0.0284
204.20966148376465,31.0,29.99615219251774,22.657301381644572,1.0,1.0038478074822592,5.089287492448013,0,0.8523,0.0284
204.24170422554016,31.0,29.99615219251774,22.658081085367883,1.0,1.0038478074822592,5.114383687635069,0,0.8523,0.0284
204.27335333824158,31.0,29.997801874894606,22.65769270431133,1.0,1.0021981251053944,5.1394386407627035,0,0.8523,0.0284
204.3208110332489,31.0,29.999451587950716,22.657301381644572,1.0,1.0005484120492838,5.164452351063936,0,0.8523,0.0284
204.36879587173462,31.0,29.9973902310511,22.65691300191901,1.0,1.0026097689489006,5.189517595287659,0,0.8523,0.0284
204.40072870254517,31.0,29.9973902310511,22.65613624445649,1.0,1.0026097689489006,5.214582839511381,0,0.8523,0.0284
204.44825673103333,31.0,29.999039936451425,22.65613624445649,1.0,1.0009600635485754,5.239606841100096,0,0.8523,0.0284
204.47979712486267,31.0,30.001101331691018,22.655744924466433,1.0,0.998898668308982,5.2645793078078205,0,0.8523,0.0284
204.52749681472778,31.0,29.999863241360515,22.653800103517653,1.0,1.000136758639485,5.289582726773808,0,0.8523,0.0284
204.5596468448639,31.0,29.999863241360515,22.653411729765992,1.0,1.000136758639485,5.314586145739795,0,0.8523,0.0284
204.59144759178162,31.0,30.001512992758137,22.652243670276903,1.0,0.998487007241863,5.339548320920842,0,0.8523,0.0284
204.63850736618042,31.0,30.004400911244204,22.650687247670817,1.0,0.995599088755796,5.364438298139737,0,0.8523,0.0284
204.6858401298523,31.0,30.00398923677011,22.648739527740304,1.0,0.99601076322989,5.389338567220484,0,0.8523,0.0284
204.73362040519714,31.0,30.004400911244204,22.64718312906291,1.0,0.995599088755796,5.414228544439379,0,0.8523,0.0284
204.78139543533325,31.0,30.006465549939605,22.646406404773813,1.0,0.9935344500603946,5.439066905690889,0,0.8523,0.0284
204.81414556503296,31.0,30.00605074706715,22.645238381181912,1.0,0.9939492529328504,5.46391563701421,0,0.8523,0.0284
204.8449399471283,31.0,30.00811542418711,22.644070363569597,1.0,0.9918845758128896,5.488712751409532,0,0.8523,0.0284
204.89259099960327,31.0,30.00893881337049,22.642513996745834,1.0,0.9910611866295085,5.5134892810752705,0,0.8523,0.0284
204.92409110069275,31.0,30.011826973783286,22.641345993074196,1.0,0.9881730262167139,5.5381936067306885,0,0.8523,0.0284
204.97140431404114,31.0,30.01223868466076,22.640569288650227,1.0,0.9877613153392417,5.5628876396141695,0,0.8523,0.0284
205.00301694869995,31.0,30.012653516494765,22.638621655080385,1.0,0.9873464835052346,5.5875713017018,0,0.8523,0.0284
205.03455305099487,31.0,30.016776988149672,22.637844959918596,1.0,0.9832230118503276,5.612151876998058,0,0.8523,0.0284
205.08213591575623,31.0,30.01842705440538,22.6370653253843,1.0,0.9815729455946212,5.636691200637924,0,0.8523,0.0284
205.11512899398804,31.0,30.016365256182155,22.63667698011784,1.0,0.983634743817845,5.66128206923337,0,0.8523,0.0284
205.16111278533936,31.0,30.01842705440538,22.635120663661326,1.0,0.9815729455946212,5.685821392873236,0,0.8523,0.0284
205.19286012649536,31.0,30.02173039851033,22.634341038416494,1.0,0.9782696014896715,5.710278132910478,0,0.8523,0.0284
205.24019241333008,31.0,30.023792321649637,22.633564357796047,1.0,0.976207678350363,5.734683324869237,0,0.8523,0.0284
205.27178025245667,31.0,30.02626918842668,22.632396399857157,1.0,0.9737308115733185,5.75902659515857,0,0.8523,0.0284
205.31932282447815,31.0,30.02750452823858,22.631619725837822,1.0,0.9724954717614196,5.783338981952605,0,0.8523,0.0284
205.36734700202942,31.0,30.030393294193857,22.631228447879494,1.0,0.969606705806143,5.807579149597759,0,0.8523,0.0284
205.39924430847168,31.0,30.03287034571838,22.630451777823282,1.0,0.9671296542816208,5.831757390954799,0,0.8523,0.0284
205.44720697402954,31.0,30.035344346754584,22.629672168484944,1.0,0.9646556532454156,5.855873782285935,0,0.8523,0.0284
205.4786651134491,31.0,30.036582933164027,22.629672168484944,1.0,0.963417066835973,5.8799592089568335,0,0.8523,0.0284
205.52646327018738,31.0,30.038233368709882,22.62889550370795,1.0,0.9617666312901179,5.904003374739086,0,0.8523,0.0284
205.55802845954895,31.0,30.040298796471518,22.62811589966782,1.0,0.959701203528482,5.9279959048272985,0,0.8523,0.0284
205.59005403518677,31.0,30.042361152389276,22.62811589966782,1.0,0.957638847610724,5.951936876017567,0,0.8523,0.0284
205.63774299621582,31.0,30.04607413833253,22.627727569588785,1.0,0.9539258616674715,5.975785022559253,0,0.8523,0.0284
205.66943073272705,31.0,30.0481397492955,22.627727569588785,1.0,0.9518602507044989,5.999581528826866,0,0.8523,0.0284
205.7158875465393,31.0,30.051029189446183,22.626559641424137,1.0,0.948970810553817,6.0233057990907115,0,0.8523,0.0284
205.74856519699097,31.0,30.052679894751748,22.627339240168055,1.0,0.9473201052482523,6.046988801721918,0,0.8523,0.0284
205.78072214126587,31.0,30.053918724097855,22.626947969523428,1.0,0.9460812759021451,6.070640833619471,0,0.8523,0.0284
205.81607580184937,31.0,30.05556948340137,22.626171313982866,1.0,0.9444305165986293,6.094251596534437,0,0.8523,0.0284
205.84401512145996,31.0,30.058459166594275,22.626171313982866,1.0,0.9415408334057247,6.11779011736958,0,0.8523,0.0284
205.87576246261597,31.0,30.061760885823276,22.625391719212303,1.0,0.9382391141767243,6.141246095223998,0,0.8523,0.0284
205.92368912696838,31.0,30.06382374283828,22.626171313982866,1.0,0.9361762571617191,6.164650501653041,0,0.8523,0.0284
205.9714479446411,31.0,30.06836469480237,22.62500339374992,1.0,0.9316353051976307,6.187941384282982,0,0.8523,0.0284
206.019376039505,31.0,30.070842811136515,22.625391719212303,1.0,0.9291571888634849,6.211170314004569,0,0.8523,0.0284
206.05083847045898,31.0,30.075796131393986,22.625782987199614,1.0,0.9242038686060141,6.23427541071972,0,0.8523,0.0284
206.0826780796051,31.0,30.077035285257864,22.625782987199614,1.0,0.922964714742136,6.257349528588273,0,0.8523,0.0284
206.1301829814911,31.0,30.080337699748668,22.626171313982866,1.0,0.919662300251332,6.280341086094556,0,0.8523,0.0284
206.1619975566864,31.0,30.083228194299352,22.625391719212303,1.0,0.9167718057006482,6.303260381237073,0,0.8523,0.0284
206.19382548332214,31.0,30.0848795020911,22.625391719212303,1.0,0.9151204979089016,6.326138393684795,0,0.8523,0.0284
206.24177861213684,31.0,30.089833611148833,22.626171313982866,1.0,0.9101663888511666,6.348892553406074,0,0.8523,0.0284
206.2735104560852,31.0,30.094375903032414,22.626559641424137,1.0,0.9056240969675855,6.371533155830264,0,0.8523,0.0284
206.32103157043457,31.0,30.09561531820259,22.627727569588785,1.0,0.9043846817974099,6.394142772875199,0,0.8523,0.0284
206.38054656982422,31.0,30.100157908347512,22.626559641424137,1.0,0.8998420916524879,6.416638825166511,0,0.8523,0.0284
206.42939472198486,31.0,30.105937171157223,22.626559641424137,1.0,0.8940628288427774,6.43899039588758,0,0.8523,0.0284
206.46413326263428,31.0,30.10800418496717,22.627727569588785,1.0,0.8919958150328284,6.461290291263401,0,0.8523,0.0284
206.5028669834137,31.0,30.111307761054263,22.627339240168055,1.0,0.8886922389457368,6.483507597237044,0,0.8523,0.0284
206.54206466674805,31.0,30.115438967017838,22.626947969523428,1.0,0.8845610329821625,6.505621623061598,0,0.8523,0.0284
206.588294506073,31.0,30.11915503239385,22.626171313982866,1.0,0.8808449676061514,6.527642747251752,0,0.8523,0.0284
206.6204924583435,31.0,30.12204680204502,22.626559641424137,1.0,0.8779531979549802,6.549591577200626,0,0.8523,0.0284
206.66254901885986,31.0,30.124938666859293,22.62461506894539,1.0,0.8750613331407067,6.571468110529144,0,0.8523,0.0284
206.70132756233215,31.0,30.12865513398242,22.623835479467573,1.0,0.87134486601758,6.593251732179584,0,0.8523,0.0284
206.74565958976746,31.0,30.134851677597737,22.623447156641248,1.0,0.8651483224022627,6.614880440239641,0,0.8523,0.0284
206.78132796287537,31.0,30.13774396408496,22.622279250285487,1.0,0.8622560359150384,6.636436841137517,0,0.8523,0.0284
206.81940484046936,31.0,30.14104865860952,22.620723031661953,1.0,0.8589513413904797,6.657910624672279,0,0.8523,0.0284
206.85728287696838,31.0,30.145593597745233,22.62033471410473,1.0,0.8544064022547673,6.679270784728648,0,0.8523,0.0284
206.915700674057,31.0,30.15013877237243,22.62033471410473,1.0,0.8498612276275708,6.700517315419337,0,0.8523,0.0284
206.96776008605957,31.0,30.157164732660988,22.616831060395214,1.0,0.8428352673390123,6.721588197102813,0,0.8523,0.0284
207.00220918655396,31.0,30.15922982852078,22.616442749421253,1.0,0.8407701714792211,6.742607451389794,0,0.8523,0.0284
207.03703236579895,31.0,30.16377571025174,22.61449826267534,1.0,0.8362242897482588,6.7635130586335,0,0.8523,0.0284
207.07402515411377,31.0,30.166256517708973,22.61449826267534,1.0,0.8337434822910268,6.784356645690776,0,0.8523,0.0284
207.11611676216125,31.0,30.170802764133043,22.61216254694557,1.0,0.8291972358669568,6.80508657658745,0,0.8523,0.0284
207.16485214233398,31.0,30.17576172270566,22.610218096409426,1.0,0.8242382772943415,6.825692533519809,0,0.8523,0.0284
207.20036029815674,31.0,30.17948034478536,22.60982979660747,1.0,0.820519655214639,6.846205524900175,0,0.8523,0.0284
207.24899291992188,31.0,30.185267960107353,22.608270720668088,1.0,0.8147320398926468,6.8665738258974915,0,0.8523,0.0284
207.28238368034363,31.0,30.18816191138592,22.605938009788986,1.0,0.8118380886140812,6.886869778112843,0,0.8523,0.0284
207.3200032711029,31.0,30.193950101313703,22.60477019241398,1.0,0.8060498986862967,6.907021025580001,0,0.8523,0.0284
207.3586621284485,31.0,30.19601606537117,22.603990670257815,1.0,0.8039839346288318,6.927120623945721,0,0.8523,0.0284
207.41569137573242,31.0,30.20139217656515,22.60204628875249,1.0,0.7986078234348497,6.947085819531592,0,0.8523,0.0284
207.45416402816772,31.0,30.207593869287905,22.599713640906998,1.0,0.7924061307120951,6.966895972799395,0,0.8523,0.0284
207.49583768844604,31.0,30.211726491745253,22.599322417287,1.0,0.788273508254747,6.986602810505763,0,0.8523,0.0284
207.53497004508972,31.0,30.216690899046966,22.597766353969348,1.0,0.7833091009530335,7.006185538029589,0,0.8523,0.0284
207.5672299861908,31.0,30.2199985765605,22.595822024953463,1.0,0.7800014234395007,7.0256855736155766,0,0.8523,0.0284
207.6028230190277,31.0,30.222477853754015,22.595042533049764,1.0,0.7775221462459854,7.045123627271726,0,0.8523,0.0284
207.64206862449646,31.0,30.228681045200005,22.593874770859088,1.0,0.7713189547999946,7.064406601141727,0,0.8523,0.0284
207.68821215629578,31.0,30.23323054125575,22.592709956018666,1.0,0.7667694587442497,7.083575837610333,0,0.8523,0.0284
207.7221360206604,31.0,30.236954738516488,22.59076272816668,1.0,0.7630452614835121,7.102651969147421,0,0.8523,0.0284
207.75653910636902,31.0,30.241504666588355,22.589986194748747,1.0,0.7584953334116449,7.121614352482712,0,0.8523,0.0284
207.7921314239502,31.0,30.2460548323686,22.588430194350508,1.0,0.7539451676314002,7.140462981673497,0,0.8523,0.0284
207.82383966445923,31.0,30.24853485102051,22.586874204424987,1.0,0.7514651489794915,7.159249610397984,0,0.8523,0.0284
207.85532641410828,31.0,30.251018067852215,22.58570648351241,1.0,0.7489819321477853,7.177974158701678,0,0.8523,0.0284
207.8862648010254,31.0,30.25681043087758,22.584927025730394,1.0,0.7431895691224213,7.196553897929739,0,0.8523,0.0284
207.91502165794373,31.0,30.26053250913037,22.58415051190957,1.0,0.7394674908696288,7.21504058520148,0,0.8523,0.0284
207.94583940505981,31.0,30.262187164808665,22.58298280474321,1.0,0.7378128351913347,7.233485906081263,0,0.8523,0.0284
207.97609996795654,31.0,30.269222148890037,22.582594550768647,1.0,0.7307778511099627,7.251755352359012,0,0.8523,0.0284
208.00741863250732,31.0,30.272944758547396,22.58103860008572,1.0,0.7270552414526037,7.269931733395327,0,0.8523,0.0284
208.03897094726562,31.0,30.275015724723232,22.579482659856694,1.0,0.7249842752767677,7.2880563402772465,0,0.8523,0.0284
208.07459354400635,31.0,30.279980613573173,22.57870322302813,1.0,0.7200193864268272,7.306056824937917,0,0.8523,0.0284
208.11468148231506,31.0,30.284532793223946,22.578314976227716,1.0,0.7154672067760544,7.3239435051073185,0,0.8523,0.0284
208.16334342956543,31.0,30.289498226296587,22.575979626619755,1.0,0.7105017737034132,7.341706049449904,0,0.8523,0.0284
208.19454431533813,31.0,30.29322170528627,22.575979626619755,1.0,0.7067782947137289,7.359375506817747,0,0.8523,0.0284
208.23394393920898,31.0,30.29819076483227,22.574811960637362,1.0,0.7018092351677296,7.37692073769694,0,0.8523,0.0284
208.281090259552,31.0,30.302743899939117,22.57325606220462,1.0,0.6972561000608835,7.394352140198462,0,0.8523,0.0284
208.31653928756714,31.0,30.30729727417406,22.57208840993212,1.0,0.6927027258259386,7.41166970834411,0,0.8523,0.0284
208.3536241054535,31.0,30.313506521896045,22.57053252976158,1.0,0.6864934781039551,7.428832045296709,0,0.8523,0.0284
208.39243054389954,31.0,30.318473614530433,22.570923704702068,1.0,0.6815263854695672,7.445870204933448,0,0.8523,0.0284
208.45008063316345,31.0,30.325510034302454,22.56975606416313,1.0,0.6744899656975463,7.462732454075887,0,0.8523,0.0284
208.50206518173218,31.0,30.33255015661581,22.568588429495833,1.0,0.6674498433841904,7.479418700160492,0,0.8523,0.0284
208.53597378730774,31.0,30.335449012877007,22.568588429495833,1.0,0.6645509871229933,7.496032474838567,0,0.8523,0.0284
208.57140851020813,31.0,30.340417365074245,22.569367832337605,1.0,0.659582634925755,7.512522040711711,0,0.8523,0.0284
208.6080026626587,31.0,30.34497272147246,22.567420800698528,1.0,0.6550272785275411,7.528897722674899,0,0.8523,0.0284
208.64727544784546,31.0,30.349941621092682,22.568588429495833,1.0,0.6500583789073175,7.545149182147582,0,0.8523,0.0284
208.70139479637146,31.0,30.355327266655593,22.568976660018336,1.0,0.6446727333444073,7.561266000481192,0,0.8523,0.0284
208.73977279663086,31.0,30.362366686541748,22.569367832337605,1.0,0.6376333134582524,7.577206833317648,0,0.8523,0.0284
208.78585362434387,31.0,30.366509816322946,22.56975606416313,1.0,0.6334901836770541,7.593044087909575,0,0.8523,0.0284
208.82020354270935,31.0,30.371479955535506,22.57053252976158,1.0,0.6285200444644943,7.608757089021187,0,0.8523,0.0284
208.8557825088501,31.0,30.37562352298488,22.57053252976158,1.0,0.6243764770151188,7.624366500946564,0,0.8523,0.0284
208.8956320285797,31.0,30.381424225487592,22.570923704702068,1.0,0.6185757745124079,7.639830895309375,0,0.8523,0.0284
208.94861221313477,31.0,30.388052287828828,22.572479587494854,1.0,0.6119477121711725,7.655129588113654,0,0.8523,0.0284
208.98551726341248,31.0,30.392196652040695,22.57208840993212,1.0,0.6078033479593046,7.6703246718126366,0,0.8523,0.0284
209.0225932598114,31.0,30.398412005884495,22.572867824524906,1.0,0.6015879941155049,7.685364371665524,0,0.8523,0.0284
209.07070016860962,31.0,30.404214243160595,22.574035480719886,1.0,0.5957857568394047,7.700259015586509,0,0.8523,0.0284
209.10075068473816,31.0,30.40794266902759,22.573644300533942,1.0,0.5920573309724091,7.715060448860819,0,0.8523,0.0284
209.13550806045532,31.0,30.412915199352256,22.574035480719886,1.0,0.5870848006477445,7.729737568877012,0,0.8523,0.0284
209.17100405693054,31.0,30.417474388122912,22.575591384381198,1.0,0.5825256118770881,7.744300709173939,0,0.8523,0.0284
209.20856285095215,31.0,30.422864256481716,22.574811960637362,1.0,0.5771357435182836,7.7587291027618965,0,0.8523,0.0284
209.25270247459412,31.0,30.42783765000121,22.575979626619755,1.0,0.5721623499987913,7.773033161511866,0,0.8523,0.0284
209.28725218772888,31.0,30.432397630533615,22.57675905428863,1.0,0.5676023694663854,7.787223220748525,0,0.8523,0.0284
209.32706999778748,31.0,30.437371576118437,22.5771472984826,1.0,0.5626284238815629,7.801288931345565,0,0.8523,0.0284
209.37425255775452,31.0,30.44483460220829,22.578314976227716,1.0,0.5551653977917113,7.815168066290357,0,0.8523,0.0284
209.41112065315247,31.0,30.448564791339322,22.57870322302813,1.0,0.5514352086606777,7.828953946506874,0,0.8523,0.0284
209.44816637039185,31.0,30.45478422369365,22.58025915802176,1.0,0.5452157763063497,7.842584340914533,0,0.8523,0.0284
209.48469495773315,31.0,30.457687197855137,22.581426851451056,1.0,0.5423128021448633,7.8561421609681545,0,0.8523,0.0284
209.53189659118652,31.0,30.465565851127224,22.58181510346742,1.0,0.5344341488727764,7.869503014689974,0,0.8523,0.0284
209.5675926208496,31.0,30.469300077947025,22.582594550768647,1.0,0.5306999220529747,7.882770512741298,0,0.8523,0.0284
209.60643529891968,31.0,30.475107108444888,22.58298280474321,1.0,0.5248928915551119,7.895892835030176,0,0.8523,0.0284
209.64689207077026,31.0,30.48008353275435,22.58415051190957,1.0,0.5199164672456504,7.908890746711317,0,0.8523,0.0284
209.68701696395874,31.0,30.48589129491603,22.58375931464593,1.0,0.5141087050839701,7.921743464338417,0,0.8523,0.0284
209.72332119941711,31.0,30.490037249706745,22.584927025730394,1.0,0.5099627502932549,7.9344925330957485,0,0.8523,0.0284
209.76320505142212,31.0,30.494186541860017,22.58453876849427,1.0,0.5058134581399827,7.947137869549248,0,0.8523,0.0284
209.79607105255127,31.0,30.49957809986347,22.58375931464593,1.0,0.50042190013653,7.959648417052661,0,0.8523,0.0284
209.82736134529114,31.0,30.50289977001927,22.58337105936897,1.0,0.497100229980731,7.97207592280218,0,0.8523,0.0284
209.86083841323853,31.0,30.507463748421685,22.582203356134755,1.0,0.49253625157831493,7.984389329091638,0,0.8523,0.0284
209.90355920791626,31.0,30.514515653027217,22.58103860008572,1.0,0.48548434697278253,7.996526437765957,0,0.8523,0.0284
209.9374942779541,31.0,30.519911631792866,22.579482659856694,1.0,0.4800883682071344,8.008528646971136,0,0.8523,0.0284
209.97195029258728,31.0,30.526550408701894,22.57870322302813,1.0,0.47344959129810604,8.020364886753589,0,0.8523,0.0284
210.00747728347778,31.0,30.527378723359845,22.57675905428863,1.0,0.4726212766401545,8.032180418669592,0,0.8523,0.0284
210.04773688316345,31.0,30.531944011014104,22.575203142792645,1.0,0.4680559889858955,8.043881818394238,0,0.8523,0.0284
210.0994110107422,31.0,30.541906913761295,22.572479587494854,1.0,0.4580930862387049,8.055334145550207,0,0.8523,0.0284
210.13630437850952,31.0,30.54398122679288,22.570923704702068,1.0,0.4560187732071199,8.066734614880385,0,0.8523,0.0284
210.16649627685547,31.0,30.547718883533832,22.569367832337605,1.0,0.45228111646616753,8.078041642792039,0,0.8523,0.0284
210.2064335346222,31.0,30.554774118502905,22.566644345502823,1.0,0.44522588149709463,8.089172289829467,0,0.8523,0.0284
210.24899530410767,31.0,30.560586966752567,22.56469733668615,1.0,0.4394130332474333,8.100157615660653,0,0.8523,0.0284
210.2888524532318,31.0,30.565154034855198,22.562365065112715,1.0,0.43484596514480245,8.111028764789273,0,0.8523,0.0284
210.3280110359192,31.0,30.57055008290496,22.5604180921257,1.0,0.42944991709504166,8.121765012716649,0,0.8523,0.0284
210.38346672058105,31.0,30.578442302236112,22.556918287377755,1.0,0.4215576977638875,8.132303955160745,0,0.8523,0.0284
